,Unnamed: 0,country,description,designation,rating,price,province,region,title,variety,winery
8774,8774,Spain,"Powdery, perfumed aromas of raspberry and red plum announce a palate with ringing acidity. Plum, red currant and strawberry flavors come with moderate loamy weight, while the finish takes on an earthy quality that's balanced by shearing, tangy acidity. This is only 60% Tempranillo while the rest is Garnacha, Graciano and Mazuelo. Drink through 2020.",Norte,89,95.0,Northern Spain,Rioja,pujanza 2010 norte rioja,Tempranillo Blend,Pujanza
8775,8775,Spain,"Toasty, oaky aromas of popcorn and modest fruits set up an elegant feeling palate with a mild but present bubble bead. Apple, nectarine and citrus flavors finish long and pure, with a dry, citrusy feel.",L'Hereu Reserva Brut,89,24.0,Spain Other,Spain,raventós i blanc 2011 lhereu reserva brut sparkling,Sparkling Blend,Raventós I Blanc
8784,8784,Spain,"A dark tint and ripe aromas of blackberry, black plum and leather are appealing and inviting. This is weighty and full-bodied, with blackberry, boysenberry and cassis flavors. There's not a lot of nuance or complexity, but overall this is clean, tasty and generous.",Roble,89,11.0,Northern Spain,Ribera del Duero,tierras guindas 2011 roble ribera del duero,Tempranillo,Tierras Guindas
8791,8791,Spain,"Concentrated, compact aromas of black fruits are generous but also monotonous and low on character. A big, bulky palate is round but offers enough acidic kick to keep everything above water. Baked, flat flavors of black fruits and roasted meat finish smooth but low on pulse. Drink through 2017.",Reserva,89,42.0,Northern Spain,Ribera del Duero,linaje garsea 2009 reserva ribera del duero,Tempranillo,Linaje Garsea
8793,8793,Spain,"Direct berry fruit aromas are firm and tight. This feels ripped, honest and authentic, but ultimately approachable and uncomplicated. Black fruit, raw oak and licorice flavors precede a woody and weighty yet fresh and clean finish.",,89,17.0,Northern Spain,Bierzo,luna beberide 2012 mencía bierzo,Mencía,Luna Beberide
8830,8830,Spain,"Highly concentrated black-fruit aromas of plum and currant are made more interesting by cola and forest-floor notes. This is a dense, chewy and almost fat Cabernet Sauvignon. Baked berry, fig and savory grilled-meat flavors are massive, backed up by a lush, deep finish. Drink 2018–2025.",Single Vineyard Estate Bottled,93,40.0,Central Spain,Dominio de Valdepusa,marques de griñon 2013 single vineyard estate bottled cabernet sauvignon dominio de valdepusa,Cabernet Sauvignon,Marques de Griñon
8845,8845,Spain,"This dark, concentrated number is new from the García family, known for the wines of San Román and Mauro. Like most reds from this clan, this is loaded with blackberry and toasty oak aromas. A massive, raw palate shows abrasive tannins. Oak-forward flavors of blackberry, cassis and coconut finish woody and powerful. Drink from 2018–2028.",,93,62.0,Northern Spain,Ribera del Duero,garmón 2014 ribera del duero,Tempranillo,Garmón
8976,8976,Spain,"Ripe aromas of prune, cassis and blackberry come with notes of spice cake, minerals and lemon peel. This feels grabby and strong, with pronounced acidity and tannins. Baked blackberry, black currant and toasty flavors are supported by a beam of firm acidity that carries onto the finish. Drink this powerful Rioja now through 2022.",La Nieta,93,149.0,Northern Spain,Rioja,viñedos de paganos 2012 la nieta rioja,Tempranillo,Viñedos de Paganos
8996,8996,Spain,"Jammy, concentrated aromas of boysenberry, violet petal and oak spice are about as rich and lusty as Rioja gets. This wine from a warm vintage is lush and lusty but less structured than other vintages. Jammy blackberry and blueberry flavors end in a jammy fashion. Drink through 2020.",El Carretil,93,190.0,Northern Spain,Rioja,artadi 2012 el carretil rioja,Tempranillo,Artadi
8997,8997,Spain,"This is yet another dense, powerful single-vineyard wine from Artadi. The palate is pure silk and very ripe. Saturated blackberry, boysenberry, toast, chocolate and herbal flavors finish plump and smooth. This delicious, unctuous heavyweight from a hot year is made for early consumption; drink through 2019.",La Poza de Ballesteros,93,110.0,Northern Spain,Rioja,artadi 2012 la poza de ballesteros rioja,Tempranillo,Artadi
9012,9012,Spain,"Evidence of a warm vintage is sketched on the bouquet. Aromas of raisin, black licorice and mocha are quite sweet. The palate is wide and mildly tannic, with earthy, oaky black cherry and raspberry flavors. For a ripe wine with significant extraction, it's well balanced. But all along there's a hint of prune that tells you it's ripe and ready.",Gran Vino Pontac,88,70.0,Northern Spain,Rioja,luis alegre 2003 gran pontac rioja,Tempranillo Blend,Luis Alegre
9015,9015,Spain,"Starts out with gritty, granular aromas that hint at raisin, yet the palate is fresher and more stand-up. Flavors of raspberry and cherry are round and sort of earthy, while the tannin-to-acid balance is good. Finishes sort of narrow but with crusty tannins and stature. Drink now.",Terras Cúa,88,25.0,Northern Spain,Bierzo,valsanzo 2003 terras cúa mencía bierzo,Mencía,Valsanzo
9076,9076,Spain,"Floral red-fruit aromas show a touch of wild animal. The tight and choppy palate holds racy flavors of cherry and plum. A long, fruity finish rolls out little by little, with a lasting feel of grape skins.",,89,30.0,Catalonia,Priorat,terroir al límit 2016 red priorat,Red Blend,Terroir Al Límit
9077,9077,Spain,"White-fruit aromas and a prickly scent of cactus or nettle opens this tight, citrusy old-vines Verdejo. Matching the aromas, this tastes of pithy citrus, grapefruit and green herbs. A racy finish fades out nicely.",Flor de Vetus Old Vines From Segovia,89,15.0,Northern Spain,Rueda,vetus 2016 flor de vetus old vines from segovia verdejo rueda,Verdejo,Vetus
9088,9088,Spain,"Slightly earthy and herbal, as Somontano reds are prone to be, with a gritty mouthfeel and sweet black fruit flavors that come with proper herbal accents. Tastes roasted and toasty, with pepper and heat on the lusty finish. Balanced and good; drink now through 2013.",Gran Vos Reserva,88,20.0,Northern Spain,Somontano,viñas del vero 2005 gran vos reserva red somontano,Red Blend,Viñas del Vero
9089,9089,Spain,"Big, bawdy, hard and concentrated, with black fruit and floral aromas. The palate is grabby and fully tannic, while the flavors run toward blackberry, coffee and vanilla. Rich and espresso-like on the finish, with no shortage of oak and richness. Very big at 15% alcohol.",Crianza,88,57.0,Northern Spain,Ribera del Duero,pago de carraovejas 2006 crianza ribera del duero,Tempranillo Blend,Pago de Carraovejas
9104,9104,Spain,"From Freixenet, this is perfectly good yet familiar, which for $15 is about as good as we can expect. The palate is juicy and also smooth, with red berry, tomato and herbal flavors. There's good depth and balance throughout, and the finish rounds into form and closes things out in a tasty, subdued fashion.",Crianza,88,15.0,Northern Spain,Rioja,vaza 2006 crianza rioja,Tempranillo,Vaza
9163,9163,Spain,"Monastrell (with 30% Cabernet Sauvignon) has rarely smelled this perfumed, rich and inviting. This is an ultraripe Levante bruiser, with a jammy yet defined structure and huge flavors of baked blackberry, exotic spice, dusty mineral and toasty oak. Herbs, espresso and toast flavors propel this rich red to a lush finish. Drink through 2017.",Clio,92,45.0,Levante,Jumilla,el nido 2011 clio red jumilla,Red Blend,El Nido
9191,9191,Spain,"Aromas of pencil lead, rubber and spice accent distant red fruit notes. The palate is none too deep, with dilution and bracing acidity. Tastes perky and lightly leafy, with cherry, raspberry, dry spice and finally buttery oak. Whispy but hollow for an '06 reserva.",Reserva,86,19.0,Northern Spain,Rioja,castillo clavijo 2006 reserva rioja,Tempranillo Blend,Castillo Clavijo
9192,9192,Spain,"Generic berry and plum aromas come with sweet vanilla notes and a briney pinch. The wine feels fresh but clacky, with juicy acids giving drive to standard dark cherry and berry flavors. Peppery and lightly oaked on the finish.",Urban Ribera,86,14.0,Northern Spain,Ribera del Duero,o fournier 2009 urban ribera ribera del duero,Tinto del Pais,O. Fournier
9215,9215,Spain,"Clean mineral, saline, blanched almond and white-fruit aromas announce that this wine is still fresh and not losing a step just yet. Flavors of white peach, apricot, pineapple and green apple are pleasant, while the mildly pithy finish is short but cleansing. Drink now.",,87,14.0,Northern Spain,Rueda,naia 2006 verdejo rueda,Verdejo,Naia
9219,9219,Spain,"More pulpy and flat than ideal, but still this wine shows a lot of spirit and Rioja character. It starts with a jumbled nose of lacquer, shoe polish and licorice, while the palate is chewy and dark, with some briary notes. A good effort from a challenging vintage.",Reserva,87,27.0,Northern Spain,Rioja,montecillo 2002 reserva rioja,Tempranillo,Montecillo
9224,9224,Spain,"Good wines sometimes come out of the woodwork, such as this Tempranillo rosé from the Granada area. It presents as candy apple, both in color and bouquet. But the palate shows nicely with raspberry and cherry flavors. Gets the job done and stirs some interest. Just 350 cases made.",Veleta Rosé,87,9.0,Andalucia,Vino de la Tierra Contraviesa Alpujarra,dominio buenavista 2007 veleta rosé tempranillo de la tierra contraviesa alpujarra,Tempranillo,Dominio Buenavista
9228,9228,Spain,"Spicy, bretty and leathery; this type of wine represents Ribera in a traditional, no-tricks light. Air only helps it show its best attributes, which revolve around meaty black fruit and herbal accents. It's chewy, sort of tannic and finishes with flavors of moss and jerky. Good for near-term consumption.",Castillo de Gormaz Crianza,87,20.0,Northern Spain,Ribera del Duero,viña gormaz 2004 castillo de gormaz crianza ribera del duero,Tempranillo,Viña Gormaz
9300,9300,Spain,"Powerful blackberry, prune, juniper, cola and fern aromas are demanding but appealing for Spanish Cabernet. This feels tannic, full and generous, with flavors of spicy, lightly green berry fruits. A foresty note accents an elegant yet strong finish. Drink through 2022.",Single Vineyard Estate Bottled,92,40.0,Central Spain,Dominio de Valdepusa,marques de griñon 2010 single vineyard estate bottled cabernet sauvignon dominio de valdepusa,Cabernet Sauvignon,Marques de Griñon
9322,9322,Spain,"Pleasant red-fruit aromas of cherry and raspberry are low in octane for Toro. A fresh but not overly dense palate is lively and vital, with wild berry, plum and brown sugar flavors. A warm, heady, generous finish is fruity and bright. Drink through 2018.",Gran Bajoz,89,30.0,Northern Spain,Toro,pagos del rey 2011 gran bajoz toro,Tinta de Toro,Pagos del Rey
9349,9349,Spain,"Earthy berry and licorice aromas are composed, lightly oaked and attractive. This standard Priorato blend of Grenache, Carignan and Syrah is fresh feeling, with a bolt of bracing acidity. Juicy plum and raspberry flavors finish loamy, earthy and balanced. For a wine that's no heavyweight, this is strong throughout. Drink through 2018.",,89,23.0,Catalonia,Priorat,vega escal 2011 red priorat,Red Blend,Vega Escal
9357,9357,Spain,"Lots of leather and churned earth on the nose, and with time plum and tomato notes enter the party. It's a forward, aggressive Tempranillo with jumpy red-fruit flavors and a long, angular finish. Not really a wine for connoisseurs, but good for everyday consumption.",Damalisco,84,13.0,Northern Spain,Toro,valsanzo 2006 damalisco toro,Tempranillo,Valsanzo
9358,9358,Spain,"Dry and leafy in the Cru Bourgeois sense of Bordeaux. And that makes sense given that it's Cabernet Sauvignon, Merlot and Tempranillo from a cool, tough vintage. While not vegetal, the wine is herbal and nervous, with leafy notes and burnt brown sugar flavors.",Crianza,84,9.0,Northern Spain,Navarra,castillo de monjardin 2002 crianza red navarra,Red Blend,Castillo de Monjardin
9359,9359,Spain,"A strange bird for sure. The blend is 70% Chardonnay, 20% Sauvignon Blanc and 10% Picapoll. In no way is it common, and truth be told it lags far behind the winery's usually excellent reds. But it does have a lot of kick, body and tropical fruit. And for a unique Spanish white, it may draw some interest because it's not poorly made.",Abadal Blanc,84,17.0,Catalonia,Pla de Bages,masies davinyo 2007 abadal blanc white pla de bages,White Blend,Masies d'Avinyo
9360,9360,Spain,"Big and sweet, with ripe berry aromas, candy and leather on the nose. This wine is a classic fruity joven; it's bulky and easygoing, with black cherry, raspberry and chocolate. If you aren't looking for miracles, this is fine within the young Ribera del Duero category.",Joven,84,11.0,Northern Spain,Ribera del Duero,arroyo 2006 joven ribera del duero,Tempranillo,Arroyo
9361,9361,Spain,"Rusty in color with a neutral, light-styled nose. This wine shows all of its age via lean apple skin and cherry flavors. It's a bit acidic and stripped down, but deep inside there's adequate tobacco, leather and coffee notes.",Gran Reserva,84,15.0,Central Spain,Valdepeñas,viña albali 1999 gran reserva tempranillo valdepeñas,Tempranillo,Viña Albali
9363,9363,Spain,"Osborne is now in Ribera del Duero, and if this wine is an indication of what to expect, then work needs to be done. It has a cheesey nose with no real fruit character. The palate has acidic freshness but also a dearth of substance and a grabby feel. It's not bad wine per se, but in RDD the competition is stiff and this isn't going to draw many converts.",Señorio del Cid Crianza,84,21.0,Northern Spain,Ribera del Duero,osborne selección 2003 señorio del cid crianza ribera del duero,Tempranillo,Osborne Selección
9365,9365,Spain,"Fairly rough and gaseous at first (and we tried two different samples), although it does soften with time. The mouth and palate are pretty good: Raspberry and plum flavors are tasty, and the acidity is not lacking. Finishes with earth and a touch of burnt coffee.",Crianza,84,11.0,Central Spain,La Mancha,condesa de leganza 2003 crianza tempranillo la mancha,Tempranillo,Condesa de Leganza
9370,9370,Spain,"Everyone who follows Spain and the Mediterranean basin knows that 2002 was a cool, miserly year. But still, this wine is offering almost nothing. It's tart, limited and borderline sour. There isn't much middle or body to it, so expect scratchy red fruit and lots of wayward acidity.",Tinto Reserva,83,49.0,Northern Spain,Ribera del Duero,pago de los capellanes 2002 tinto reserva ribera del duero,Tempranillo,Pago de los Capellanes
9371,9371,Spain,"Young, rambunctious Toro is what this is. It's leathery and raw on the nose, with barrel char to boot. The palate is sweet, unctuous and creamy, with candied berry flavors and caramel. And the tannins are typically huge and grabby.",Azul,83,15.0,Northern Spain,Toro,estancia piedra 2006 azul toro,Tinta de Toro,Estancia Piedra
9372,9372,Spain,"Vibrant to the point of spritzy, with more tartness than cushion. This is a sharp rendition of Viura that emphasizes grapefruit and lemon. It stretches astringency to its limit, and yet some may like it because it will never be confused for plodding.",Solaz Blanco,83,10.0,Central Spain,Vino de la Tierra de Castilla,osborne 2006 solaz blanco viura de la tierra de castilla,Viura,Osborne
9406,9406,Spain,"Aromatically, this is pretty good as dry apple and a pinch of green herbs work the nose. In the mouth, however, this is shear and citric, with zesty, almost sour flavors of tangerine, orange and grapefruit. The finish is similar, with thinly cut acidity causing tartness.",Gran Bach,83,11.0,Catalonia,Cava,codorníu nv gran bach sparkling cava,Sparkling Blend,Codorníu
9407,9407,Spain,"Burnt hay, grapefruit and waxy apple aromas lead to a palate with briny citrus flavors. Pithy grapefruit and orange flavors carry the finish, which is quick and light in weight.",,83,10.0,Northern Spain,Rioja,monte clavijo 2012 viura rioja,Viura,Monte Clavijo
9421,9421,Spain,"Grassy aromas of green tobacco and alfalfa come in front of a lightly abrasive palate. Herbal red-berry flavors are suggestive of minty cranberry, cherry and raspberry. This turns more fruity and less green on the finish.",Finca del Castillo Joven,83,9.0,Central Spain,La Mancha,vinícola de castilla 2011 finca del castillo joven tempranillo la mancha,Tempranillo,Vinícola de Castilla
9432,9432,Spain,"A maderized color and flat, old-smelling aromas of molasses and baked beans are barely cutting it. This feels tired, with mildly oxidized flavors of raisin, tobacco and vanilla. Tomato and herbal notes carry the finish on this mostly gone Rioja.",Crianza,82,22.0,Northern Spain,Rioja,urbina 2007 crianza rioja,Red Blend,Urbina
9435,9435,Spain,"Among Genium's fine lineup of 2010 Priorat reds, this one stands out for it's schisty nose of cherry, currant and raspberry. A ripe, layered, chiseled palate is tough but rewarding. Cherry, cassis and plum flavors finish fiery and minerally, even by Priorat standards. Drink through 2025.",Ecològic,92,45.0,Catalonia,Priorat,genium celler 2010 ecològic red priorat,Red Blend,Genium Celler
9450,9450,Spain,"Minty, oaky, smoky aromas of ripe blackberry draw you towards a saturated, full-bodied palate with hard tannins. Blackberry, cassis, pepper and chocolate flavors form a fine team, while this finishes with molten-chocolate richness but also heat and tannic clamp. Drink through 2028.",Reserva,92,36.0,Northern Spain,Ribera del Duero,lecco 2011 reserva ribera del duero,Tempranillo,Lecco
9515,9515,Spain,"Ripe, lusty blackberry, cherry and earth aromas are accented by woodsy spice scents. This is full in body, with firm tannins that provide structure. Flavors of mixed berry fruits, toasty oak and related spice run deep, while this Tempranillo is staunch on the finish, with mildly abrasive tannins. Drink through 2022.",Viñas Viejas,92,45.0,Northern Spain,Vino de la Tierra de Castilla y León,leda 2010 viñas viejas tempranillo de la tierra de castilla y león,Tempranillo,Leda
9516,9516,Spain,"Riojas of this quality and price are not a dime a dozen. This ripe, delicious wine shows all the virtues of a great vintage. Earthy, roasted berry aromas are pure, ripe and magnetic. This feels full, tannic and strapping, while flavors of cassis, blackberry and chocolate are supported by generous but appropriate oak. Mocha, espresso and black-fruit residuals grace a fine finish. Drink through 2022.",Reserva,92,25.0,Northern Spain,Rioja,marqués de cáceres 2010 reserva rioja,Tempranillo Blend,Marqués de Cáceres
9517,9517,Spain,"A lightly perfumed nose of white flowers, fresh herbs and dry stone fruits sets up a round, elegant palate with no coarseness. Briny, slightly salty citrus flavors are focused and steely, while a steady, mildly salty finish is in great shape and confirms this bubbly's high level of quality and purity. Drink through 2019.",Textures'de Pedra Blanc de Negres,92,60.0,Spain Other,Spain,raventós i blanc 2011 texturesde pedra blanc de negres sparkling,Sparkling Blend,Raventós I Blanc
9572,9572,Spain,"Scratchy, horsey berry aromas set up a fresh, regular palate. Plum, berry and peppery flavors are basic, while the finish dries out fast while showing a wood character along with juicy acidity.",Castillo de Albai,86,10.0,Northern Spain,Rioja,pagos del rey 2012 castillo de albai rioja,Tempranillo,Pagos del Rey
9576,9576,Spain,"Raw raspberry and plum aromas feed into a crisp, edgy palate with grating acidity. Tart plum and berry flavors turn earthy upon airing, while this finishes with pointed acidity and snappy red-fruit flavors.",Artazuri,86,12.0,Northern Spain,Navarra,bodegas artazu 2012 artazuri garnacha navarra,Garnacha,Bodegas Artazu
9577,9577,Spain,"Exceedingly dry berry aromas register as scratchy and woody. This is intense and grabby in feel, with minty strawberry and raspberry flavors that run heavy with oak. A minty, dry, peppery finish is a touch hot.",LZ,86,17.0,Northern Spain,Rioja,telmo rodríguez 2012 lz rioja,Tempranillo Blend,Telmo Rodríguez
9578,9578,Spain,"Blackberry and boysenberry aromas are a touch grassy and green in the middle. This is chunky, jammy and fairly concentrated in the mouth, with blackberry and cocoa notes. A loamy, plump finish is friendly and offers plenty of weight and density.",Tarima,86,9.0,Levante,Alicante,volver 2012 tarima monastrell alicante,Monastrell,Volver
9585,9585,Spain,"Peach and lemon curd aromas are good but basic. A plump, melony palate displays freshness and flavors of honeydew, papaya and lime. A soft but not flabby palate is just bright enough.",,85,8.0,Northern Spain,Rueda,viña vilano 2013 verdejo rueda,Verdejo,Viña Vilano
9604,9604,Spain,"Earthy, leathery aromas of baked red fruits fit the classic style. This is full on the palate but not heavy, with cola, molasses, coffee and heady raspberry and plum flavors. A warm finish with fine tannins and ripe flavors of chocolate, lightly baked black fruits and vanilla. Drink 2015–2025.",Gran Reserva,93,45.0,Northern Spain,Rioja,marqués de riscal 2005 gran reserva rioja,Tempranillo Blend,Marqués de Riscal
9653,9653,Spain,"Red fruit aromas are a bit rough and scalped in front of a chunky palate. Charred, burnt, oaky flavors of raspberry and cassis stress ripeness and weight before finishing with buttery oak, a slightly greasy feel and roasted berry flavors. Drink through 2020.",Reserva,90,40.0,Northern Spain,Ribera del Duero,lecco 2009 reserva ribera del duero,Tempranillo,Lecco
9670,9670,Spain,"Smooth, deep aromas of licorice and blackberry are composed. This Mencía feels full and lusty, with grip but nothing too hard or edgy. Earthy black fruit flavors are savory, toasty and meaty, while the finish is woody and plump. Drink through 2020.",Art,90,55.0,Northern Spain,Bierzo,luna beberide 2012 art mencía bierzo,Mencía,Luna Beberide
9672,9672,Spain,"Resiny oak and mildly stalky berry aromas muscle out cherry and raspberry scents. This feels grabby and clampy, while oaky flavors of mixed berries and baked plum end with coconut-infused oak flavors and notes of raisin and licorice. Drink through 2020.",Reserva,90,35.0,Northern Spain,Rioja,rioja vega 2010 reserva rioja,Tempranillo Blend,Rioja Vega
9682,9682,Spain,"A recommended entry-level Ribera, with aromas of violets, minerals and oak. The palate has a standard, competent feel and balance along with flavors of gangly berry fruit and black cherry. Mocha and vanilla help sweeten and soften up the finish, but overall it's a regular, fresh type of wine.",Finca Resalso,87,15.0,Northern Spain,Ribera del Duero,emilio moro 2008 finca resalso ribera del duero,Tinto Fino,Emilio Moro
9692,9692,Spain,"A solid but seemingly standard blend of Tempranillo, Syrah and Garnacha with berry and cherry aromas along with touches of mint and leather. The palate is woody, with spiced berry flavors and decent body and structure. Vanilla and then oak-based bitterness define the finish. A good wine but hardly a knockout.",Corpus del Muni Roble,86,20.0,Central Spain,Vino de la Tierra de Castilla,bodegas del muni 2008 corpus del muni roble red de la tierra de castilla,Tempranillo Blend,Bodegas del Muni
9693,9693,Spain,"Begins with muddled, murky, syrupy aromas of caramel and berries. The palate is more high-toned, with lemony accents to tomato, baked fruit and savory flavors. Finishes solid albeit lightly damp and bitter. Comes around with time but always seems a bit murky.",Glorioso Crianza,86,13.0,Northern Spain,Rioja,bodegas palacio 2006 glorioso crianza rioja,Tempranillo,Bodegas Palacio
9694,9694,Spain,"Roasted and mildly leafy, and then clacky and a bit tannic in the mouth. The fruit flavors are good and mostly pure as they settle on black cherry and blackberry, while the finish is jammy but short. For $8 this should not disappoint.",,86,8.0,Central Spain,Vino de la Tierra de Castilla,capa 2008 tempranillo de la tierra de castilla,Tempranillo,Capa
9698,9698,Spain,"Fresh berry aromas carry some spice notes, while the palate is rugged and a little hot. Juicy berry flavors are forward but not overly evolved or complex, and the the finish is tight and aggressive. Spunky and clean, with honest flavors.",Urban Ribera,86,14.0,Northern Spain,Ribera del Duero,o fournier 2008 urban ribera ribera del duero,Tinto del Pais,O. Fournier
9699,9699,Spain,"Aromas of balsam wood, dry leather, and slightly herbal berry fruit are generally appealing, while the palate has size, balance and a healthy feel to it. More woody and spicy than outright fruity, with a touch of zesty raspberry and strawberry at the core. Nice but simple red wine.",Azagador Viñedos Propios Crianza,86,10.0,Central Spain,La Mancha,pago de la jaraba 2007 azagador viñedos propios crianza red la mancha,Tempranillo Blend,Pago de la Jaraba
9701,9701,Spain,"Opens with a blast of cola and minty grass, and then comes a raisiny wave and mossy herbal notes that are typical of Navarran Merlot, which makes up 60% of this three-grape blend. Gritty in the mouth, with black cherry, licorice, herbs, raisin and lasting sweetness on the finish.",Finca la Moneda,86,40.0,Northern Spain,Navarra,alzania 2004 finca la moneda red navarra,Red Blend,Alzania
9703,9703,Spain,"Opens with good berry fruit aromas, mineral notes and coconutty sweetness, which is followed by a plump, well-balanced palate of black fruits, plum and licorice. Finishes solid and warm, with enough vitality and juiciness to maintain balance. More or less what you want from affordable Monastrell.",Castillo de Jumilla,86,10.0,Levante,Jumilla,bodegas bleda 2008 castillo de jumilla monastrell jumilla,Monastrell,Bodegas Bleda
9772,9772,Spain,"Vall Llach Embruix may be the winery's base-level offering but it's no starter wine. Five grapes led by Garnacha are blended to achieve a potent and piercing brew of blueberry aromas, black cherry and cassis flavors, and a rich, chocolaty finish. Modern in style, and making no apologies for it. Equal in quality to the excellent 2004 Embruix.",Embruix,92,34.0,Catalonia,Priorat,vall llach 2005 embruix red priorat,Red Blend,Vall Llach
9851,9851,Spain,"Lean aromas of green fruits include notes of grass and vanilla. This feels about average, with some flatness to the palate. Dry, slightly bitter flavors of green fruits and arugula end with briny citrus.",Brut Reserva,86,15.0,Catalonia,Cava,mont marçal nv brut reserva sparkling cava,Sparkling Blend,Mont Marçal
9960,9960,Spain,"Leesy mango and lime aromas are fleshy, but attractive. A plump, juicy palate is holding its own, while flavors of pithy orange and melon end in a friendly, round fashion.",,87,16.0,Northern Spain,Rueda,paramus 2013 verdejo rueda,Verdejo,Paramus
9965,9965,Spain,"Clean, simple and fresh on the nose, this is showing aromas of lime and apple cider. The palate is creamy and melony more than sharp and acidic, with leesy pear and apple flavors that finish short but bright. Drink now.",Arindo,87,11.0,Northern Spain,Rueda,shaya 2013 arindo verdejo rueda,Verdejo,Shaya
10029,10029,Spain,"Black cherry and wild berry aromas are appealing and lusty. In the mouth, this blend of Sryah, Graciano, Tempranillo and Petit Verdot is solid but a bit thin in the middle. Flavors of raw oak, coffee and cherry finish with a wave of creamy oak. Despite its modest structure, this is a very good and interesting blend to drink now.",Maza Cruz,89,22.0,Central Spain,Vino de la Tierra de Castilla,dehesa de los llanos 2009 maza cruz red de la tierra de castilla,Red Blend,Dehesa de los Llanos
10032,10032,Spain,"Aromas of graphite, asphalt, floral berry, black cherry and oak are harmonious and inviting. This wine feels juicy and rubbery, while black-fruit and plum flavors come with herbal notes and overt barrel notes. A fresh, juicy, zesty finish is pure Graciano.",Vendimia Seleccionada,89,19.0,Northern Spain,Rioja,viña herminia 2009 vendimia seleccionada rioja,Graciano,Viña Herminia
10043,10043,Spain,"White fruits, fennel and Serrano ham aromas create a sophisticated bouquet. This jabs away on the palate courtesy of citric acidity, while flavors of nectarine and citrus are good. It finishes dry and foamy.",Opus Evolutium Privat Gran Reserva Brut Nature,89,46.0,Catalonia,Cava,alta alella 2009 opus evolutium privat gran reserva brut nature sparkling cava,Sparkling Blend,Alta Alella
10047,10047,Spain,"Rubbery, rooty aromas of herbs and berries blend with stalky red-fruit notes. This feels shrill and tangy, with hard tannins, while flavors of roasted berry fruits come with a leafy undercurrent. Roasted, herbal, oaky flavors settle in on a juicy, high-acid finish. Drink through 2020.",F,89,85.0,Northern Spain,Ribera del Duero,bodegas fuentespina 2009 f ribera del duero,Red Blend,Bodegas Fuentespina
10058,10058,Spain,"Basic aromas of apple and melon feed into a solid round palate with good acidity. Salty flavors of popcorn and tropical fruits finish flush, balanced and with notes of melon and papaya.",Quintaluna,88,19.0,Northern Spain,Vino de la Tierra de Castilla y León,ossian 2015 quintaluna verdejo de la tierra de castilla y león,Verdejo,Ossian
10078,10078,Spain,"Unusual exotic-leaning aromas of lavender, violet, cardamom and anise are intriguing. In the mouth, this has textural issues, namely it's abrupt and tannic. Flavors of mild chocolate, carob and blueberry are uncommon for Ribera del Duero.",Sierra de Miros Reserva,88,35.0,Northern Spain,Ribera del Duero,bodegas peñafiel 2011 sierra de miros reserva ribera del duero,Tempranillo,Bodegas Peñafiel
10128,10128,Spain,"Opaque in color, with blackberry and licorice aromas but also a distinct streak of brambly herbs and green. Later on, pine needle and tartness enter the fray. This is a commendable modern Rioja but it does have a few issues, namely a green herbal component.",Selección Especial,86,24.0,Northern Spain,Rioja,marqués de terán 2009 selección especial rioja,Tempranillo,Marqués de Terán
10136,10136,Spain,Plum and blueberry aromas come with a hint of green herbs. Feels fresh and clamps down with good tannins in the mouth before unleashing dark plum along with toast and peppery spice flavors. Juicy on the finish.,Made with Organic Grapes,86,10.0,Central Spain,La Mancha,paso a paso 2010 made with organic grapes tempranillo la mancha,Tempranillo,Paso a Paso
10143,10143,Spain,"Raspy cheesy fiery aromas of plum and raspberry are a bit harsh. This feels tannic and grabby, while inky berry fruit and resiny oak flavors finish hard and blocky with a mild note of schisty minerality.",Xibrana Crianza,87,19.0,Catalonia,Priorat,vicente gandia 2012 xibrana crianza red priorat,Red Blend,Vicente Gandia
10155,10155,Spain,"Stalky, soupy berry aromas come up shy on elegance. This feels clampy and hard with rocky tannins. Standard berry fruit flavors are overshadowed by gritty stalky blackened accents, while the finish is grating and uncushioned but long.",Glorioso Gran Reserva,87,36.0,Northern Spain,Rioja,bodegas palacio 2007 glorioso gran reserva rioja,Tempranillo,Bodegas Palacio
10162,10162,Spain,"Leathery, baked aromas of cheesy oak and red berry fruits are a bit lacking in pop but are reflective of typical Rioja Crianza. A full grabby palate shows earthy, buttery flavors of baked stalky berry fruits and oak. A grabby chunky finish wraps this up.",Arienzo Crianza,87,13.0,Northern Spain,Rioja,marqués de riscal 2010 arienzo crianza rioja,Tempranillo Blend,Marqués de Riscal
10164,10164,Spain,"Popcorn and apple aromas ride highest on a lightly baked and toasty bouquet. This feels clean and correct, but basic. Flavors of spiced apple and melon blend with fresh celery and lettuce notes in front of a minerally lime-tinged finish.",Brut Reserva,87,14.0,Catalonia,Cava,mont marçal 2011 brut reserva sparkling cava,Sparkling Blend,Mont Marçal
10167,10167,Spain,"Harmonious but mild cherry and raspberry aromas are light and nice. This is substantive enough, with rubbery tannins and some chewiness to the palate. Generic flavors of raspberry and red plum finish mellow and easy.",,87,13.0,Northern Spain,Rioja,pingao 2013 rioja,Tempranillo,Pingao
