designation,wine,wine_year,avg_rating
"Unico 2008",Unico,2008,4.704878048780491
"El Nido 2008","El Nido",2008,4.714285714285714
"Valbuena 5o 2008","Valbuena 5o",2008,4.590322580645159
"Tinto 2008",Tinto,2008,4.445283018867927
"Reserva Particular de Recaredo Brut Nature 2008","Reserva Particular de Recaredo Brut Nature",2008,4.65
"Priorat 2008",Priorat,2008,4.430769230769231
"AAA 2008",AAA,2008,4.55
"Cava Kripta Gran Reserva Brut Nature 2008","Cava Kripta Gran Reserva Brut Nature",2008,4.425000000000001
"Flor de Pingus 2008","Flor de Pingus",2008,4.5
"V2 Tinto 2008","V2 Tinto",2008,4.3999999999999995
"Clos Martinet 2008","Clos Martinet",2008,4.34
"Calvario Rioja 2008","Calvario Rioja",2008,4.45
"Cami Pesseroles 2008","Cami Pesseroles",2008,4.481818181818182
"Aponte Winemaker's Private Collection Tempranillo 2008","Aponte Winemaker's Private Collection Tempranillo",2008,4.4
"200 Monges Rioja Seleccion Especial Reserva Blanco 2008","200 Monges Rioja Seleccion Especial Reserva Blanco",2008,4.4
"Vina Tondonia Reserva 2008","Vina Tondonia Reserva",2008,4.3
"Roda I Reserva Rioja 2008","Roda I Reserva Rioja",2008,4.372727272727271
"Rioja Vina Coqueta 2008","Rioja Vina Coqueta",2008,4.3
"Altar 2008",Altar,2008,4.3
"Alto de la Caseta 2008","Alto de la Caseta",2008,4.35
"Clos del Portal Somni 2008","Clos del Portal Somni",2008,4.300000000000001
"Vina Ardanza Reserva 2008","Vina Ardanza Reserva",2008,4.2749999999999995
"Rioja Gran Reserva 2008","Rioja Gran Reserva",2008,4.3
"Red 2008",Red,2008,4.266666666666667
"Seleccion de Anada Albarino Rias Baixas 2008","Seleccion de Anada Albarino Rias Baixas",2008,4.3
"Vina Bosconia Reserva 2008","Vina Bosconia Reserva",2008,4.2
"Unico 2009",Unico,2009,4.704878048780491
"Tinto 2009",Tinto,2009,4.445283018867926
"Parcela El Picon Tinto 2009","Parcela El Picon Tinto",2009,4.616666666666666
"Valbuena 5o 2009","Valbuena 5o",2009,4.590322580645159
"Vina El Pison 2009","Vina El Pison",2009,4.568750000000001
"Unico Reserva Especial Edicion 2009","Unico Reserva Especial Edicion",2009,4.730434782608696
"La Poza de Ballesteros 2009","La Poza de Ballesteros",2009,4.4333333333333345
"Castillo Ygay Gran Reserva Especial Tinto 2009","Castillo Ygay Gran Reserva Especial Tinto",2009,4.433333333333334
"Calvario Rioja 2009","Calvario Rioja",2009,4.45
"Cami Pesseroles 2009","Cami Pesseroles",2009,4.481818181818182
"Pago Garduna 2009","Pago Garduna",2009,4.5
"Estrats 2009",Estrats,2009,4.4
"Pesus Ribera del Duero 2009","Pesus Ribera del Duero",2009,4.525
"V2 Tinto 2009","V2 Tinto",2009,4.3999999999999995
"Roda I Reserva Rioja 2009","Roda I Reserva Rioja",2009,4.372727272727271
"Rioja Reserva 2009","Rioja Reserva",2009,4.305000000000001
"Pago Negralada 2009","Pago Negralada",2009,4.38
"Cava Celler Batlle 2009","Cava Celler Batlle",2009,4.4
"Rioja Cisma 2009","Rioja Cisma",2009,4.4
"Vinyes Altes Porrera 2009","Vinyes Altes Porrera",2009,4.4
"Usted 2009",Usted,2009,4.550000000000001
"Cava El Tros Nou Pinot Noir 2009","Cava El Tros Nou Pinot Noir",2009,4.4
"Vina Ardanza Reserva 2009","Vina Ardanza Reserva",2009,4.2749999999999995
"200 Monges Rioja Reserva 2009","200 Monges Rioja Reserva",2009,4.319999999999999
"Priorat 2009",Priorat,2009,4.43076923076923
"Granja Gran Reserva Rioja 2009","Granja Gran Reserva Rioja",2009,4.375
"Finca Dofi 2009","Finca Dofi",2009,4.319999999999999
"Llanos del Almendro Ribera del Duero 2009","Llanos del Almendro Ribera del Duero",2009,4.333333333333333
"Venus 2009",Venus,2009,4.3
"Campo Eliseo 2009","Campo Eliseo",2009,4.3
"Nebro Ribera del Duero 2009","Nebro Ribera del Duero",2009,4.4
"Gran Calzadilla 2009","Gran Calzadilla",2009,4.35
"Clos de L'Obac 2009","Clos de L'Obac",2009,4.433333333333334
"Rioja Gran Reserva 2009","Rioja Gran Reserva",2009,4.3
"A Mano Rioja 2009","A Mano Rioja",2009,4.319999999999999
"Reserva 2009",Reserva,2009,4.353846153846154
"Vina Bosconia Reserva 2009","Vina Bosconia Reserva",2009,4.2
"Falguera 2009",Falguera,2009,4.3
"Unico 2010",Unico,2010,4.704878048780491
"Unico Reserva Especial Edicion 2010","Unico Reserva Especial Edicion",2010,4.730434782608696
"Valbuena 5o 2010","Valbuena 5o",2010,4.590322580645159
"Clon De La Familia 2010","Clon De La Familia",2010,4.633333333333333
"Tinto 2010",Tinto,2010,4.445283018867926
"Usted 2010",Usted,2010,4.550000000000001
"Castillo Ygay Gran Reserva Especial Tinto 2010","Castillo Ygay Gran Reserva Especial Tinto",2010,4.433333333333334
"Pingus 2010",Pingus,2010,4.652941176470589
"Cuesta de Las Liebres 2010","Cuesta de Las Liebres",2010,4.7
"Vina El Pison 2010","Vina El Pison",2010,4.568750000000001
"Planots Priorat 2010","Planots Priorat",2010,4.55
"L'Ermita Velles Vinyes Priorat 2010","L'Ermita Velles Vinyes Priorat",2010,4.666666666666667
"Uno Tinto 2010","Uno Tinto",2010,4.6
"La Faraona Bierzo (Corullon) 2010","La Faraona Bierzo (Corullon)",2010,4.633333333333333
"Flor de Pingus 2010","Flor de Pingus",2010,4.5
"Termanthia 2010",Termanthia,2010,4.575
"Gran Reserva 890 2010","Gran Reserva 890",2010,4.5125
"Clos de L'Obac 2010","Clos de L'Obac",2010,4.433333333333334
"Cami Pesseroles 2010","Cami Pesseroles",2010,4.481818181818182
"La Poza de Ballesteros 2010","La Poza de Ballesteros",2010,4.4333333333333345
"Miserere 2010",Miserere,2010,4.45
"Pendon De La Aguilera 2010","Pendon De La Aguilera",2010,4.5
"Ribera del Duero Prestigio Pago de las Solanas 2010","Ribera del Duero Prestigio Pago de las Solanas",2010,4.55
"Palomero 2010",Palomero,2010,4.5
"Roda I Reserva Rioja 2010","Roda I Reserva Rioja",2010,4.372727272727271
"Macan 2010",Macan,2010,4.5
"Rioja Reserva 2010","Rioja Reserva",2010,4.305000000000001
"Priorat 2010",Priorat,2010,4.43076923076923
"Tempranillo Reserva 2010","Tempranillo Reserva",2010,4.333333333333333
"Lealtanza Coleccion de Artistas Espanoles Sorolla 2010","Lealtanza Coleccion de Artistas Espanoles Sorolla",2010,4.4
"Perez Pascuas Gran Reserva Seleccion 2010","Perez Pascuas Gran Reserva Seleccion",2010,4.35
"Trasnocho 2010",Trasnocho,2010,4.483333333333333
"Cava Kripta Gran Reserva Brut Nature 2010","Cava Kripta Gran Reserva Brut Nature",2010,4.425000000000001
"Gran Reserva 2010","Gran Reserva",2010,4.38421052631579
"Cava Celler Batlle 2010","Cava Celler Batlle",2010,4.4
"Gran Ribera del Duero 2010","Gran Ribera del Duero",2010,4.4
"El Carretil 2010","El Carretil",2010,4.466666666666668
"Regina Vides Ribera del Duero 2010","Regina Vides Ribera del Duero",2010,4.455555555555555
"Calvario Rioja 2010","Calvario Rioja",2010,4.45
"Son Negre 2010","Son Negre",2010,4.516666666666667
"Cava Ex-Vite Gran Reserva Brut 2010","Cava Ex-Vite Gran Reserva Brut",2010,4.4
"Cava Original Brut (Espumos) 2010","Cava Original Brut (Espumos)",2010,4.4
"Gran Calzadilla 2010","Gran Calzadilla",2010,4.35
"Toro 2010",Toro,2010,4.377777777777778
"200 Monges Rioja Reserva 2010","200 Monges Rioja Reserva",2010,4.319999999999999
"Vina Ardanza Reserva 2010","Vina Ardanza Reserva",2010,4.2749999999999995
"Seleccion Finca el Grajo Viejo 2010","Seleccion Finca el Grajo Viejo",2010,4.35
"Rioja Gran Reserva 2010","Rioja Gran Reserva",2010,4.3
"Finca Iscorta Gran Reserva 2010","Finca Iscorta Gran Reserva",2010,4.3
"Pantocrator 2010",Pantocrator,2010,4.3
"Clos Martinet 2010","Clos Martinet",2010,4.34
"Pago Valdebellon 2010","Pago Valdebellon",2010,4.324999999999999
"Ribera Del Duero Gran Reserva 2010","Ribera Del Duero Gran Reserva",2010,4.3
"Rioja Norte 2010","Rioja Norte",2010,4.3
"Classic 2010",Classic,2010,4.339999999999999
"Gloria Rioja 2010","Gloria Rioja",2010,4.35
"Tomas Esteban 2010","Tomas Esteban",2010,4.4
"Llanos del Almendro Ribera del Duero 2010","Llanos del Almendro Ribera del Duero",2010,4.333333333333333
"Mas La Plana Cabernet Sauvignon 2010","Mas La Plana Cabernet Sauvignon",2010,4.233333333333333
"QS 2010",QS,2010,4.25
"Gran Reserva Rioja (Finca Ygay) 2010","Gran Reserva Rioja (Finca Ygay)",2010,4.279999999999999
"200 Monges Edicion Exclusiva Blanco Reserva 2010","200 Monges Edicion Exclusiva Blanco Reserva",2010,4.3
"Ines 2010",Ines,2010,4.3
"Cava Gran Reserva La Capella Brut 2010","Cava Gran Reserva La Capella Brut",2010,4.3
"Rioja 150 Aniversario 2010","Rioja 150 Aniversario",2010,4.2
"Vinas Viejas Aguilera 2010","Vinas Viejas Aguilera",2010,4.3
"Reserva Especial Rioja 2010","Reserva Especial Rioja",2010,4.3
"Unico 2011",Unico,2011,4.704878048780491
"Tinto 2011",Tinto,2011,4.445283018867926
"Unico Reserva Especial Edicion 2011","Unico Reserva Especial Edicion",2011,4.730434782608696
"Aquilon Garnacha 2011","Aquilon Garnacha",2011,4.575
"Reserva Particular de Recaredo Brut Nature 2011","Reserva Particular de Recaredo Brut Nature",2011,4.65
"Valbuena 5o 2011","Valbuena 5o",2011,4.590322580645159
"Termanthia 2011",Termanthia,2011,4.575
"Malleolus de Sanchomartin 2011","Malleolus de Sanchomartin",2011,4.55
"Contador Rioja 2011","Contador Rioja",2011,4.616666666666666
"Vina El Pison 2011","Vina El Pison",2011,4.568750000000001
"Nit de Nin Mas d'en Cacador 2011","Nit de Nin Mas d'en Cacador",2011,4.5
"Parcela El Picon Tinto 2011","Parcela El Picon Tinto",2011,4.616666666666666
"Tierra Alta de 2 Racimos Gran Reserva 2011","Tierra Alta de 2 Racimos Gran Reserva",2011,4.6
"Castillo Ygay Gran Reserva Especial Tinto 2011","Castillo Ygay Gran Reserva Especial Tinto",2011,4.433333333333334
"Clon De La Familia 2011","Clon De La Familia",2011,4.633333333333333
"Valdafoz Bierzo (Corullon) 2011","Valdafoz Bierzo (Corullon)",2011,4.6
"Vina Motulleri 2011","Vina Motulleri",2011,4.6
"L'Ermita Velles Vinyes Priorat 2011","L'Ermita Velles Vinyes Priorat",2011,4.666666666666667
"PS (Pagos Seleccionados) Ribera del Duero 2011","PS (Pagos Seleccionados) Ribera del Duero",2011,4.550000000000001
"Rioja Reserva 2011","Rioja Reserva",2011,4.305000000000001
"Malleolus de Valderramiro 2011","Malleolus de Valderramiro",2011,4.575
"Ribera Del Duero Reserva Premium 6 Anos 2011","Ribera Del Duero Reserva Premium 6 Anos",2011,4.5
"Trasnocho 2011",Trasnocho,2011,4.483333333333333
"5o Ano Ribera del Duero Tinto 2011","5o Ano Ribera del Duero Tinto",2011,4.55
"Regina Vides Ribera del Duero 2011","Regina Vides Ribera del Duero",2011,4.455555555555555
"Son Negre 2011","Son Negre",2011,4.516666666666667
"Chardonnay Uno 2011","Chardonnay Uno",2011,4.4
"Nebro Ribera del Duero 2011","Nebro Ribera del Duero",2011,4.4
"Gran Reserva 2011","Gran Reserva",2011,4.38421052631579
"Celia 2011",Celia,2011,4.4
"Taberner No. 1 2011","Taberner No. 1",2011,4.55
"Cuvee Julia Ribera del Duero 2011","Cuvee Julia Ribera del Duero",2011,4.5
"Tomas Esteban 2011","Tomas Esteban",2011,4.4
"Roda I Reserva Rioja 2011","Roda I Reserva Rioja",2011,4.372727272727271
"200 Monges Rioja Reserva 2011","200 Monges Rioja Reserva",2011,4.319999999999999
"Reserva 2011",Reserva,2011,4.353846153846154
"San Vicente Rioja 2011","San Vicente Rioja",2011,4.366666666666666
"Priorat 2011",Priorat,2011,4.43076923076923
"Culmen Reserva Rioja 2011","Culmen Reserva Rioja",2011,4.433333333333334
"La Cueva del Contador Rioja 2011","La Cueva del Contador Rioja",2011,4.4
"Granja Gran Reserva Rioja 2011","Granja Gran Reserva Rioja",2011,4.375
"Cava Kripta Gran Reserva Brut Nature 2011","Cava Kripta Gran Reserva Brut Nature",2011,4.425000000000001
"Clos Martinet 2011","Clos Martinet",2011,4.34
"Pesus Ribera del Duero 2011","Pesus Ribera del Duero",2011,4.525
"Clos Monlleo 2011","Clos Monlleo",2011,4.35
"Rioja Reserva 10 Anos Despues Edicion Limitada 2011","Rioja Reserva 10 Anos Despues Edicion Limitada",2011,4.4
"Queiron Reserva Vinedos Familiares 2011","Queiron Reserva Vinedos Familiares",2011,4.4
"Cami Pesseroles 2011","Cami Pesseroles",2011,4.481818181818182
"Llanos del Almendro Ribera del Duero 2011","Llanos del Almendro Ribera del Duero",2011,4.333333333333333
"Seleccion Privada 2011","Seleccion Privada",2011,4.35
"Cava Celler Batlle 2011","Cava Celler Batlle",2011,4.4
"Gloria Rioja 2011","Gloria Rioja",2011,4.35
"Cava Gran Reserva Familiar Millenium Brut 2011","Cava Gran Reserva Familiar Millenium Brut",2011,4.4
"Gran Reserva Rioja (Finca Ygay) 2011","Gran Reserva Rioja (Finca Ygay)",2011,4.279999999999999
"Gran Reserva Rioja 2011","Gran Reserva Rioja",2011,4.25
"Torre Muga 2011","Torre Muga",2011,4.366666666666666
"Finca Dofi 2011","Finca Dofi",2011,4.319999999999999
"Seleccion de Anada Albarino Rias Baixas 2011","Seleccion de Anada Albarino Rias Baixas",2011,4.3
"Victorino 2011",Victorino,2011,4.339999999999999
"Priorat Vinyes Velles 2011","Priorat Vinyes Velles",2011,4.325
"Perez Pascuas Gran Reserva Seleccion 2011","Perez Pascuas Gran Reserva Seleccion",2011,4.35
"Don Miguel Comenge Reserva 2011","Don Miguel Comenge Reserva",2011,4.3
"Vina del Olivo 2011","Vina del Olivo",2011,4.416666666666667
"Chafandin 2011",Chafandin,2011,4.333333333333333
"Emeritvs (Emeritus) 2011","Emeritvs (Emeritus)",2011,4.4
"Finca Cuesta Clara Raro Reserva 2011","Finca Cuesta Clara Raro Reserva",2011,4.3
"III a.C 2011","III a.C",2011,4.3
"La Vina de Andres Romeo Rioja 2011","La Vina de Andres Romeo Rioja",2011,4.35
"Rioja Blanco 2011","Rioja Blanco",2011,4.3090909090909095
"Blecua Somontano 2011","Blecua Somontano",2011,4.425
"Rioja Norte 2011","Rioja Norte",2011,4.3
"Classic 2011",Classic,2011,4.339999999999999
"Les Manyes 2011","Les Manyes",2011,4.316666666666667
"Aurus 2011",Aurus,2011,4.380000000000001
"Red 2011",Red,2011,4.266666666666667
"Rioja Gran Reserva 2011","Rioja Gran Reserva",2011,4.3
"Casa Cisca Monastrell 2011","Casa Cisca Monastrell",2011,4.3999999999999995
"Mirto 2011",Mirto,2011,4.233333333333333
"Rioja Graciano 2011","Rioja Graciano",2011,4.2749999999999995
"Reserva Tempranillo 2011","Reserva Tempranillo",2011,4.2
"Corimbo I 2011","Corimbo I",2011,4.2
"Mirador de Navajas Reserva Rioja 2011","Mirador de Navajas Reserva Rioja",2011,4.3
"Roc Nu 2011","Roc Nu",2011,4.2
"Gueta-Lupia 2011",Gueta-Lupia,2011,4.3
"Tinto 2012",Tinto,2012,4.4452830188679195
"Contador Rioja 2012","Contador Rioja",2012,4.616666666666666
"Unico Reserva Especial Edicion 2012","Unico Reserva Especial Edicion",2012,4.730434782608696
"Luthier Gran Reserva 2012","Luthier Gran Reserva",2012,4.7
"Valbuena 5o 2012","Valbuena 5o",2012,4.590322580645159
"Termanthia 2012",Termanthia,2012,4.575
"Pingus 2012",Pingus,2012,4.652941176470589
"Cirsion Rioja 2012","Cirsion Rioja",2012,4.6
"Parcela El Picon Tinto 2012","Parcela El Picon Tinto",2012,4.616666666666666
"Vina El Pison 2012","Vina El Pison",2012,4.568750000000001
"Unico 2012",Unico,2012,4.704878048780491
"Valdegatiles Ribera del Duero 2012","Valdegatiles Ribera del Duero",2012,4.6
"40 Aniversario Gran Reserva 2012","40 Aniversario Gran Reserva",2012,4.6
"Rioja Reserva 2012","Rioja Reserva",2012,4.304999999999999
"Trasnocho 2012",Trasnocho,2012,4.483333333333333
"Ribera Del Duero Reserva Premium 6 Anos 2012","Ribera Del Duero Reserva Premium 6 Anos",2012,4.5
"Amancio 2012",Amancio,2012,4.485714285714286
"Cenit 2012",Cenit,2012,4.5
"El Carretil 2012","El Carretil",2012,4.466666666666668
"Priorat 2012",Priorat,2012,4.430769230769231
"Rioja Blanco Reserva 2012","Rioja Blanco Reserva",2012,4.5
"Gran Reserva Penas Aladas 2012","Gran Reserva Penas Aladas",2012,4.566666666666666
"Cami Pesseroles 2012","Cami Pesseroles",2012,4.481818181818182
"Roda I Reserva Rioja 2012","Roda I Reserva Rioja",2012,4.372727272727271
"La Cueva del Contador Rioja 2012","La Cueva del Contador Rioja",2012,4.4
"Granja Gran Reserva Rioja 2012","Granja Gran Reserva Rioja",2012,4.375
"Finca el Bosque 2012","Finca el Bosque",2012,4.5
"La Vina de Andres Romeo Rioja 2012","La Vina de Andres Romeo Rioja",2012,4.35
"Pesus Ribera del Duero 2012","Pesus Ribera del Duero",2012,4.525
"Regina Vides Ribera del Duero 2012","Regina Vides Ribera del Duero",2012,4.455555555555555
"Seleccion de Anada Albarino Rias Baixas 2012","Seleccion de Anada Albarino Rias Baixas",2012,4.3
"Classic 2012",Classic,2012,4.339999999999999
"Veguin de Murua Gran Reserva 2012","Veguin de Murua Gran Reserva",2012,4.4
"Gran Reserva Classica Blanco 2012","Gran Reserva Classica Blanco",2012,4.4
"200 Monges Rioja Reserva 2012","200 Monges Rioja Reserva",2012,4.319999999999999
"Primordium 2012",Primordium,2012,4.4
"Numerus Clausus 2012","Numerus Clausus",2012,4.4
"Rioja Cisma 2012","Rioja Cisma",2012,4.4
"Seleccion 2012",Seleccion,2012,4.35
"Sao Expressiu 2012","Sao Expressiu",2012,4.4
"Vina Ardanza Reserva 2012","Vina Ardanza Reserva",2012,4.2749999999999995
"Rioja Gran Reserva 2012","Rioja Gran Reserva",2012,4.3
"Vina Arana Gran Reserva 2012","Vina Arana Gran Reserva",2012,4.333333333333333
"Gaudium 2012",Gaudium,2012,4.383333333333334
"Dalmau Rioja 2012","Dalmau Rioja",2012,4.43
"Finca Dofi 2012","Finca Dofi",2012,4.319999999999999
"Gran Reserva Rioja (Finca Ygay) 2012","Gran Reserva Rioja (Finca Ygay)",2012,4.279999999999999
"A Mano Rioja 2012","A Mano Rioja",2012,4.319999999999999
"Tierras de Cair Reserva 2012","Tierras de Cair Reserva",2012,4.35
"Porrera Vi de Vila 2012","Porrera Vi de Vila",2012,4.325
"Clos Figueres 2012","Clos Figueres",2012,4.324999999999999
"Perez Pascuas Gran Reserva Seleccion 2012","Perez Pascuas Gran Reserva Seleccion",2012,4.35
"Suprema 30 Meses 2012","Suprema 30 Meses",2012,4.3
"Grillo 2012",Grillo,2012,4.3
"Doix 2012",Doix,2012,4.385714285714285
"Clos Martinet 2012","Clos Martinet",2012,4.34
"Aurea 2012",Aurea,2012,4.3
"Chardonnay Uno 2012","Chardonnay Uno",2012,4.4
"Estrats 2012",Estrats,2012,4.4
"Les Manyes 2012","Les Manyes",2012,4.316666666666667
"Tempranillo Reserva 2012","Tempranillo Reserva",2012,4.333333333333333
"Reserva 2012",Reserva,2012,4.353846153846153
"Roda Reserva Rioja 2012","Roda Reserva Rioja",2012,4.228571428571429
"Gran Reserva 2012","Gran Reserva",2012,4.38421052631579
"Mirto 2012",Mirto,2012,4.233333333333333
"El Viejo 2012","El Viejo",2012,4.25
"Finca Malaveina 2012","Finca Malaveina",2012,4.25
"Rejon Tempranillo 2012","Rejon Tempranillo",2012,4.3500000000000005
"Coleccion Privada 2012","Coleccion Privada",2012,4.333333333333333
"Gran Reserva Rioja 2012","Gran Reserva Rioja",2012,4.25
"Finca Valmediano Tinta de Toro 16 Meses Barrica 2012","Finca Valmediano Tinta de Toro 16 Meses Barrica",2012,4.3
"Cabernet 2012",Cabernet,2012,4.3
"Club Rioja Reserva 2012","Club Rioja Reserva",2012,4.3
"Bagus Ribera del Duero 2012","Bagus Ribera del Duero",2012,4.2
"Pleret 2012",Pleret,2012,4.3
"Vd'O 1 Samso - Pissarra 2012","Vd'O 1 Samso - Pissarra",2012,4.3
"Ribera Del Duero Reserva 2012","Ribera Del Duero Reserva",2012,4.2
"Graciano 2012",Graciano,2012,4.3
"Coto de Imaz Rioja Gran Reserva 2012","Coto de Imaz Rioja Gran Reserva",2012,4.2
"Tinto 2013",Tinto,2013,4.445283018867926
"Unico Reserva Especial Edicion 2013","Unico Reserva Especial Edicion",2013,4.730434782608696
"El Nido 2013","El Nido",2013,4.714285714285714
"1902 Centenary Carignan Priorat 2013","1902 Centenary Carignan Priorat",2013,4.6499999999999995
"Valbuena 5o 2013","Valbuena 5o",2013,4.590322580645159
"Pingus 2013",Pingus,2013,4.652941176470589
"Blecua Somontano 2013","Blecua Somontano",2013,4.425
"La Creu Alta 2013","La Creu Alta",2013,4.574999999999999
"Trasnocho 2013",Trasnocho,2013,4.483333333333333
"Taberner No. 1 2013","Taberner No. 1",2013,4.55
"Saktih 2013",Saktih,2013,4.55
"Valdegatiles Ribera del Duero 2013","Valdegatiles Ribera del Duero",2013,4.6
"Galiano Seleccion Especial 2013","Galiano Seleccion Especial",2013,4.6
"Ribera del Duero 2013","Ribera del Duero",2013,4.3826086956521735
"Termanthia 2013",Termanthia,2013,4.575
"Emeritvs (Emeritus) 2013","Emeritvs (Emeritus)",2013,4.4
"Vina El Pison 2013","Vina El Pison",2013,4.568750000000001
"La Basseta 2013","La Basseta",2013,4.466666666666667
"Altos de Las Gateras Monastrell 2013","Altos de Las Gateras Monastrell",2013,4.5
"Canta la Perdiz 2013","Canta la Perdiz",2013,4.5
"Cava Kripta Gran Reserva Brut Nature 2013","Cava Kripta Gran Reserva Brut Nature",2013,4.425000000000001
"Planots Priorat 2013","Planots Priorat",2013,4.55
"Cami Pesseroles 2013","Cami Pesseroles",2013,4.481818181818182
"Rioja Reserva 2013","Rioja Reserva",2013,4.304999999999999
"Pago Negralada 2013","Pago Negralada",2013,4.38
"Seleccio Especial Vinyes Velles 2013","Seleccio Especial Vinyes Velles",2013,4.4
"Amancio 2013",Amancio,2013,4.485714285714286
"Doix 2013",Doix,2013,4.385714285714285
"La Poza de Ballesteros 2013","La Poza de Ballesteros",2013,4.4333333333333345
"Granja Gran Reserva Rioja 2013","Granja Gran Reserva Rioja",2013,4.375
"Les Tosses 2013","Les Tosses",2013,4.466666666666667
"Monada 2013",Monada,2013,4.4
"Petit Verdot 2013","Petit Verdot",2013,4.466666666666667
"Rioja Gran Reserva 2013","Rioja Gran Reserva",2013,4.3
"Dalmau Rioja 2013","Dalmau Rioja",2013,4.43
"Victorino 2013",Victorino,2013,4.339999999999999
"Finca Dofi 2013","Finca Dofi",2013,4.319999999999999
"Reserva 2013",Reserva,2013,4.353846153846154
"Gran Reserva Rioja (Finca Ygay) 2013","Gran Reserva Rioja (Finca Ygay)",2013,4.279999999999999
"Masdeu 2013",Masdeu,2013,4.3
"Pagos Viejos 2013","Pagos Viejos",2013,4.333333333333333
"Clos Martinet 2013","Clos Martinet",2013,4.34
"Vinya La Scala Gran Reserva Cabernet Sauvignon 2013","Vinya La Scala Gran Reserva Cabernet Sauvignon",2013,4.3
"Rioja Blanco 2013","Rioja Blanco",2013,4.3090909090909095
"Vintage Albarino 2013","Vintage Albarino",2013,4.3
"Les Manyes 2013","Les Manyes",2013,4.316666666666667
"Nebro Ribera del Duero 2013","Nebro Ribera del Duero",2013,4.4
"Roda Reserva Rioja 2013","Roda Reserva Rioja",2013,4.228571428571429
"Numanthia 2013",Numanthia,2013,4.266666666666667
"El Puntido 2013","El Puntido",2013,4.266666666666667
"Camino del Abuelo Vinas Viejas 2013","Camino del Abuelo Vinas Viejas",2013,4.3
"Triaca 2013",Triaca,2013,4.3
"Nunci Negre 2013","Nunci Negre",2013,4.3
"Rara Avis Prieto Picudo 2013","Rara Avis Prieto Picudo",2013,4.3
"Corimbo I 2013","Corimbo I",2013,4.2
"Argila Reserva 3 Anys Brut Nature 2013","Argila Reserva 3 Anys Brut Nature",2013,4.3
"Vatan Arena Tinta de Toro 2014","Vatan Arena Tinta de Toro",2014,4.8
"Valbuena 5o 2014","Valbuena 5o",2014,4.590322580645159
"Cuesta de Las Liebres 2014","Cuesta de Las Liebres",2014,4.7
"El Nido 2014","El Nido",2014,4.714285714285714
"Parcela El Picon Tinto 2014","Parcela El Picon Tinto",2014,4.616666666666666
"Malleolus de Sanchomartin 2014","Malleolus de Sanchomartin",2014,4.55
"Pingus 2014",Pingus,2014,4.652941176470589
"Contador Rioja 2014","Contador Rioja",2014,4.616666666666666
"Cartago Paraje de Pozo 2014","Cartago Paraje de Pozo",2014,4.6000000000000005
"Termanthia 2014",Termanthia,2014,4.575
"Vina El Pison 2014","Vina El Pison",2014,4.568750000000001
"Finca Garbet 2014","Finca Garbet",2014,4.55
"Gran Reserva Penas Aladas 2014","Gran Reserva Penas Aladas",2014,4.566666666666666
"La Creu Alta 2014","La Creu Alta",2014,4.574999999999999
"Capricho 2014",Capricho,2014,4.6
"El Garnacho Viejo de la Familia Acha 2014","El Garnacho Viejo de la Familia Acha",2014,4.6
"L'Ermita Velles Vinyes Priorat 2014","L'Ermita Velles Vinyes Priorat",2014,4.666666666666667
"Ribera del Duero 2014","Ribera del Duero",2014,4.382608695652172
"Toro 2014",Toro,2014,4.377777777777778
"Flor de Pingus 2014","Flor de Pingus",2014,4.5
"Macan 2014",Macan,2014,4.5
"Parcela El Nogal Tinto 2014","Parcela El Nogal Tinto",2014,4.5
"Reserva 2014",Reserva,2014,4.353846153846153
"Prado Enea Gran Reserva 2014","Prado Enea Gran Reserva",2014,4.385714285714286
"Dalmau Rioja 2014","Dalmau Rioja",2014,4.43
"Petit Verdot 2014","Petit Verdot",2014,4.466666666666667
"Clos Martinet 2014","Clos Martinet",2014,4.34
"Regina Vides Ribera del Duero 2014","Regina Vides Ribera del Duero",2014,4.455555555555555
"Pesus Ribera del Duero 2014","Pesus Ribera del Duero",2014,4.525
"5o Ano Ribera del Duero Tinto 2014","5o Ano Ribera del Duero Tinto",2014,4.55
"Amancio 2014",Amancio,2014,4.485714285714286
"Pago de Santa Cruz Gran Reserva Ribera del Duero 2014","Pago de Santa Cruz Gran Reserva Ribera del Duero",2014,4.45
"Acediano 2014",Acediano,2014,4.425
"Cami Pesseroles 2014","Cami Pesseroles",2014,4.481818181818182
"El Canto del Angel 2014","El Canto del Angel",2014,4.5
"Ribera Del Duero Reserva Premium 6 Anos 2014","Ribera Del Duero Reserva Premium 6 Anos",2014,4.5
"Calmo 2014",Calmo,2014,4.5
"Salinas 1237 2014","Salinas 1237",2014,4.5
"Priorat 2014",Priorat,2014,4.43076923076923
"VS 2014",VS,2014,4.475
"Gaudium 2014",Gaudium,2014,4.383333333333334
"Pago Negralada 2014","Pago Negralada",2014,4.38
"Finca Los Hoyales Ribera del Duero 2014","Finca Los Hoyales Ribera del Duero",2014,4.45
"Grans Muralles 2014","Grans Muralles",2014,4.42
"Tadeo Tinto 2014","Tadeo Tinto",2014,4.4
"Tierras de Cair Reserva 2014","Tierras de Cair Reserva",2014,4.35
"Tinto 2014",Tinto,2014,4.4452830188679195
"Clos Abella Seleccion Especial 2014","Clos Abella Seleccion Especial",2014,4.35
"Serral del Vell Brut Nature 2014","Serral del Vell Brut Nature",2014,4.4
"Trasnocho 2014",Trasnocho,2014,4.483333333333333
